cmpiot.;cmpiot;mpio;depto;UAF_2012;
| 05001;05001;Medellín;Antioquia;3.24;
| 05002;05002;Abejorral;Antioquia;25.20;
| 05004;05004;Abriaquí;Antioquia;61.02;
| 05021;05021;Alejandría;Antioquia;15.56;
| 05030;05030;Amagá;Antioquia;10.28;
| 05031;05031;Amalfi;Antioquia;29.74;
| 05034;05034;Andes;Antioquia;6.01;
| 05036;05036;Angelópolis;Antioquia;32.23;
| 05038;05038;Angostura;Antioquia;19.57;
| 05040;05040;Anorí;Antioquia;17.47;
| 05042;05042;Santafé de Antioquia;Antioquia;30.05;
| 05044;05044;Anzá;Antioquia;31.38;
| 05045;05045;Apartadó;Antioquia;21.06;
| 05059;05059;Armenia;Antioquia;61.30;
| 05079;05079;Barbosa;Antioquia;15.40;
| 05086;05086;Belmira;Antioquia;17.06;
| 05088;05088;Bello;Antioquia;3.45;
| 05091;05091;Betania;Antioquia;11.27;
| 05107;05107;Briceño;Antioquia;23.36;
| 05113;05113;Buriticá;Antioquia;33.05;
| 05120;05120;Cáceres;Antioquia;47.78;
| 05125;05125;Caicedo;Antioquia;30.51;
| 05129;05129;Caldas;Antioquia;6.04;
| 05134;05134;Campamento;Antioquia;10.29;
| 05145;05145;Caramanta;Antioquia;25.51;
| 05147;05147;Carepa;Antioquia;36.44;
| 05150;05150;Carolina del Príncipe;Antioquia;8.84;
| 05101;05101;Ciudad Bolívar;Antioquia;25.93;
| 05138;05138;Cañasgordas;Antioquia;17.12;
| 05142;05142;Caracolí;Antioquia;44.08;
| 05154;05154;Caucasia;Antioquia;41.89;
| 05172;05172;Chigorodó;Antioquia;31.62;
| 05190;05190;Cisneros;Antioquia;8.30;
| 05197;05197;Cocorná;Antioquia;20.15;
| 05206;05206;Concepción;Antioquia;13.18;
| 05209;05209;Concordia;Antioquia;27.23;
| 05212;05212;Copacabana;Antioquia;18.74;
| 05237;05237;Don Matías;Antioquia;19.71;
| 05240;05240;Ebéjico;Antioquia;32.16;
| 05148;05148;El Carmen de Viboral;Antioquia;4.76;
| 05250;05250;El Bagre;Antioquia;34.49;
| 05264;05264;Entrerríos;Antioquia;4.87;
| 05266;05266;Envigado;Antioquia;7.17;
| 05282;05282;Fredonia;Antioquia;20.93;
| 05284;05284;Frontino;Antioquia;44.58;
| 05306;05306;Giraldo;Antioquia;60.98;
| 05308;05308;Girardota;Antioquia;10.98;
| 05313;05313;Granada;Antioquia;20.97;
| 05315;05315;Guadalupe;Antioquia;15.65;
| 05318;05318;Guarne;Antioquia;5.29;
| 05321;05321;Guatapé;Antioquia;13.39;
| 05347;05347;Heliconia;Antioquia;20.41;
| 05360;05360;Itagüí;Antioquia;10.81;
| 05361;05361;Ituango;Antioquia;45.11;
| 05364;05364;Jardín;Antioquia;11.35;
| 05368;05368;Jericó;Antioquia;13.54;
| 05376;05376;La Ceja del Tambo;Antioquia;8.25;
| 05380;05380;La Estrella;Antioquia;8.19;
| 05390;05390;La Pintada;Antioquia;20.26;
| 05400;05400;La Unión;Antioquia;6.02;
| 05411;05411;Liborina;Antioquia;55.11;
| 05425;05425;Maceo;Antioquia;24.27;
| 05440;05440;Marinilla;Antioquia;4.81;
| 05467;05467;Montebello;Antioquia;12.51;
| 05480;05480;Mutatá;Antioquia;50.64;
| 05490;05490;Necoclí;Antioquia;35.88;
| 05495;05495;Nechí;Antioquia;28.29;
| 05501;05501;Olaya;Antioquia;31.32;
| 05541;05541;El Peñol;Antioquia;4.61;
| 05543;05543;Peque;Antioquia;43.73;
| 05576;05576;Pueblorrico;Antioquia;31.23;
| 05579;05579;Puerto Berrío;Antioquia;40.70;
| 05585;05585;Puerto Nare;Antioquia;96.47;
| 05591;05591;Puerto Triunfo;Antioquia;96.92;
| 05604;05604;Remedios;Antioquia;40.42;
| 05607;05607;El Retiro;Antioquia;5.95;
| 05615;05615;Rionegro;Antioquia;2.43;
| 05628;05628;Sabanalarga;Antioquia;17.38;
| 05631;05631;Sabaneta;Antioquia;8.60;
| 05642;05642;Salgar;Antioquia;8.61;
| 05647;05647;San Andrés de Cuerquía;Antioquia;31.70;
| 05649;05649;San Carlos;Antioquia;46.13;
| 05652;05652;San Francisco;Antioquia;26.27;
| 05656;05656;San Jerónimo;Antioquia;54.77;
| 05658;05658;San José de la Montaña;Antioquia;8.46;
| 05659;05659;San Juan de Urabá;Antioquia;32.28;
| 05660;05660;San Luis;Antioquia;41.17;
| 05664;05664;San Pedro de los Milagros;Antioquia;2.78;
| 05665;05665;San Pedro de Urabá;Antioquia;66.44;
| 05667;05667;San Rafael;Antioquia;7.22;
| 05670;05670;San Roque;Antioquia;10.94;
| 05674;05674;San Vicente Ferrer;Antioquia;5.53;
| 05679;05679;Santa Bárbara;Antioquia;9.62;
| 05686;05686;Santa Rosa de Osos;Antioquia;7.35;
| 05690;05690;Santo Domingo;Antioquia;22.10;
| 05697;05697;Santuario;Antioquia;5.60;
| 05736;05736;Segovia;Antioquia;10.04;
| 05756;05756;Sonsón;Antioquia;60.04;
| 05761;05761;Sopetrán;Antioquia;15.33;
| 05789;05789;Támesis;Antioquia;13.81;
| 05790;05790;Tarazá;Antioquia;50.72;
| 05792;05792;Tarso;Antioquia;18.89;
| 05809;05809;Titiribí;Antioquia;37.88;
| 05819;05819;Toledo ;Antioquia;31.25;
| 05837;05837;Turbo;Antioquia;56.87;
| 05842;05842;Uramita;Antioquia;17.47;
| 05847;05847;Urrao;Antioquia;31.42;
| 05854;05854;Valdivia;Antioquia;39.61;
| 05856;05856;Valparaíso;Antioquia;29.77;
| 05858;05858;Vegachí;Antioquia;29.76;
| 05861;05861;Venecia;Antioquia;21.04;
| 05885;05885;Yalí;Antioquia;35.54;
| 05887;05887;Yarumal;Antioquia;30.21;
| 05890;05890;Yolombó;Antioquia;15.59;
| 05893;05893;Yondó;Antioquia;24.37;
| 05895;05895;Zaragoza;Antioquia;63.44;
| 08296;08296;Galapa;Atlántico;13.42;
| 08421;08421;Luruaco;Atlántico;14.65;
| 08433;08433;Malambo;Atlántico;11.67;
| 08436;08436;Manatí;Atlántico;16.52;
| 08520;08520;Palmar de Varela;Atlántico;10.13;
| 08558;08558;Polonuevo;Atlántico;13.10;
| 08560;08560;Ponedera;Atlántico;13.82;
| 08573;08573;Puerto Colombia;Atlántico;9.31;
| 08606;08606;Repelón;Atlántico;21.02;
| 08634;08634;Sabanagrande;Atlántico;13.86;
| 08638;08638;Sabanalarga;Atlántico;14.47;
| 08685;08685;Santo Tomás;Atlántico;15.60;
| 08758;08758;Soledad;Atlántico;9.44;
| 08770;08770;Suan;Atlántico;10.65;
| 08849;08849;Usiacurí;Atlántico;16.99;
| 13001;13001;Cartagena de Indias;Bolívar;18.89;
| 13042;13042;Arenal;Bolívar;53.85;
| 13160;13160;Cantagallo;Bolívar;59.53;
| 13244;13244;El Carmen de Bolívar;Bolívar;12.03;
| 13268;13268;El Peñón;Bolívar;41.96;
| 13300;13300;Hatillo de Loba;Bolívar;26.02;
| 13440;13440;Margarita;Bolívar;31.66;
| 13442;13442;María La Baja;Bolívar;14.50;
| 13549;13549;Pinillos;Bolívar;57.21;
| 13670;13670;San Pablo;Bolívar;46.42;
| 13683;13683;Santa Rosa del Norte (Lima);Bolívar;19.06;
| 13688;13688;Santa Rosa del Sur;Bolívar;59.12;
| 13873;13873;Villanueva;Bolívar;25.50;
| 13894;13894;Zambrano;Bolívar;28.31;
| 15001;15001;Tunja;Boyacá;9.97;
| 15022;15022;Almeida;Boyacá;12.37;
| 15047;15047;Aquitania;Boyacá;31.87;
| 15051;15051;Arcabuco;Boyacá;9.89;
| 15087;15087;Belén;Boyacá;9.19;
| 15090;15090;Berbeo;Boyacá;15.53;
| 15092;15092;Betéitiva;Boyacá;25.26;
| 15097;15097;Boavita;Boyacá;43.71;
| 15104;15104;Boyacá;Boyacá;15.55;
| 15106;15106;Briceño;Boyacá;13.53;
| 15109;15109;Buenavista;Boyacá;26.95;
| 15114;15114;Busbanzá;Boyacá;29.83;
| 15131;15131;Caldas;Boyacá;22.04;
| 15135;15135;Campohermoso;Boyacá;53.57;
| 15162;15162;Cerinza;Boyacá;7.59;
| 15183;15183;Chita;Boyacá;24.03;
| 15215;15215;Corrales;Boyacá;22.65;
| 15218;15218;Covarachía;Boyacá;27.77;
| 15172;15172;Chinavita;Boyacá;12.88;
| 15176;15176;Chiquinquirá;Boyacá;12.57;
| 15187;15187;Chivatá;Boyacá;11.59;
| 15189;15189;Ciénega;Boyacá;8.34;
| 15204;15204;Cómbita;Boyacá;11.02;
| 15224 ;15224 ;Cucaita;Boyacá;9.10;
| 15226;15226;Cuítiva;Boyacá;10.39;
| 15232;15232;Chíquiza;Boyacá;10.53;
| 15180;15180;Chiscas;Boyacá;28.77;
| 15185;15185;Chitaraque;Boyacá;8.65;
| 15236;15236;Chivor;Boyacá;7.60;
| 15238;15238;Duitama;Boyacá;5.11;
| 15244;15244;El Cocuy;Boyacá;17.64;
